"Common name","Scientific name",Subspecies,Recordist,Date,Time,Location,Country,Latitude,Longitude,Elevation,Songtype,Remarks,Back_latin,"Catalogue number",License
Mallard,"Anas platyrhynchos",,"Stanislas Wroza",2020-01-11,08:30,"Gif-sur-Yvette, Essonne, Île-de-France",France,48.7027,2.1156,70,"female, flight call","

bird-seen:yes

playback-used:no",,519495,//creativecommons.org/licenses/by-nc-sa/4.0/
Mallard,"Anas platyrhynchos",,"Marie-Lan Taÿ Pamart",2020-01-08,12:00,"Jardin des Plantes (near  Paris), Arrondissement de Paris, Île-de-France",France,48.8433,2.361,30,"call, female","Female mallard muttering while foraging in the pond of a public park.

Distance: ~2m

Equipment: Tascam DR-100MkIII + Sennheiser K6/ME66

Edits: none

bird-seen:yes

playback-used:no",,518422,//creativecommons.org/licenses/by-sa/4.0/
"Eurasian Teal","Anas crecca",,"Stanislas Wroza",2019-03-30,07:00,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,"alarm call, call, female, flight call","

bird-seen:yes

playback-used:no",,464122,//creativecommons.org/licenses/by-nc-sa/4.0/
"Eurasian Teal","Anas crecca",,"Stanislas Wroza",2019-03-30,07:00,"Les Bréviaires, Yvelines, Île-de-France",France,48.7181,1.8306,170,"alarm call, call, female, flight call, male","

bird-seen:yes

playback-used:no",,464120,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Pochard","Aythya ferina",,"Stanislas Wroza",2019-07-06,10:00,"Trappes, Yvelines, Île-de-France",France,48.7841,2.0079,160,"begging call, juvenile","

bird-seen:yes

playback-used:no",,484893,//creativecommons.org/licenses/by-nc-sa/4.0/
"Common Pochard","Aythya ferina",,"Stanislas Wroza",2019-07-06,10:00,"Trappes, Yvelines, Île-de-France",France,48.7841,2.0079,160,"alarm call, call, female, flight call, juvenile","

bird-seen:yes

playback-used:no",,484891,//creativecommons.org/licenses/by-nc-sa/4.0/
"European Nightjar","Caprimulgus europaeus",,"Stanislas Wroza",2020-05-16,21:00,"Rochefort-en-Yvelines, Yvelines, Île-de-France",France,48.6036,1.9584,110,"""grouik"", flight call","

bird-seen:yes

playback-used:no","Scolopax rusticola",560729,//creativecommons.org/licenses/by-nc-sa/4.0/
"European Nightjar","Caprimulgus europaeus",,"Stanislas Wroza",2020-05-16,21:00,"Rochefort-en-Yvelines, Yvelines, Île-de-France",France,48.6036,1.9584,110,"""grouik"", call, flight call","

bird-seen:yes

playback-used:no",,560710,//creativecommons.org/licenses/by-nc-sa/4.0/
"European Nightjar","Caprimulgus europaeus",,"Stanislas Wroza",2020-05-12,06:00,"Forêt Domaniale des Trois Pignons (near  Arbonne-la-Forêt), Seine-et-Marne, Île-de-France",France,48.3941,2.577,70,"flight call, roaring, song, wing clapping","

bird-seen:yes

playback-used:no",,557881,//creativecommons.org/licenses/by-nc-sa/4.0/
"European Nightjar","Caprimulgus europaeus",,"Catherine Boudiès",2014-07-26,21:30,"Mousseaux-sur-Seine, Yvelines, Île-de-France",France,49.0572,1.6521,40,"alarm call","

bird-seen:yes

playback-used:yes",,189177,//creativecommons.org/licenses/by-nc-sa/4.0/
